num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
1,0,0,105,21,8,6,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,276,45,6,2,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,35,31,3,5,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,110,26,23,4,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,83,44,3,0,AKLKUL,Malaysia,1,0,0,8.83,0
1,1,0,154,25,22,2,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,118,19,1,3,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,55,20,22,4,AKLKUL,New Zealand,0,0,0,8.83,0
1,1,0,45,35,1,0,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,54,23,4,1,AKLKUL,New Zealand,0,0,1,8.83,0
1,0,0,193,19,13,3,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,10,91,23,3,AKLKUL,Singapore,1,0,0,8.83,1
1,0,0,166,18,20,4,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,97,25,9,1,AKLKUL,Malaysia,1,0,0,8.83,0
5,0,0,239,17,12,5,AKLKUL,Malaysia,1,0,1,8.83,0
2,0,0,97,50,8,0,AKLKUL,New Zealand,1,1,1,8.83,0
1,0,0,182,28,10,1,AKLKUL,Vietnam,0,0,1,8.83,0
1,0,0,99,21,13,1,AKLKUL,Singapore,0,0,0,8.83,1
1,0,0,23,59,9,3,AKLKUL,New Zealand,1,0,1,8.83,0
1,1,0,53,18,9,2,AKLKUL,Malaysia,1,1,0,8.83,0
1,0,0,28,125,12,0,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,384,18,5,5,AKLKUL,Malaysia,0,0,0,8.83,0
2,0,0,22,27,23,6,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,70,106,3,5,AKLKUL,Malaysia,1,0,1,8.83,0
1,0,0,126,28,20,1,AKLKUL,Germany,1,0,0,8.83,0
1,0,0,8,45,8,3,AKLKUL,Malaysia,0,0,0,8.83,0
2,0,0,51,29,11,1,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,142,124,9,4,AKLKUL,Malaysia,1,0,0,8.83,1
1,0,0,87,33,9,0,AKLKUL,Thailand,1,0,0,8.83,0
5,1,0,238,21,8,6,AKLKUL,New Zealand,1,1,1,8.83,0
2,0,0,86,34,0,0,AKLKUL,New Zealand,1,0,0,8.83,0
1,1,0,313,35,20,0,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,41,20,20,1,AKLKUL,Spain,1,1,1,8.83,0
1,0,0,91,46,8,4,AKLKUL,New Zealand,1,1,1,8.83,0
1,1,0,41,21,12,3,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,82,33,10,3,AKLKUL,New Zealand,1,0,0,8.83,0
5,0,0,206,17,13,1,AKLKUL,Malaysia,1,0,0,8.83,0
4,0,0,6,55,5,5,AKLKUL,New Zealand,1,1,0,8.83,0
5,0,0,197,18,10,6,AKLKUL,Malaysia,1,0,1,8.83,0
1,0,0,34,22,13,3,AKLKUL,Malaysia,1,0,1,8.83,1
2,0,0,112,21,17,3,AKLKUL,Malaysia,1,0,0,8.83,0
2,0,0,268,47,1,2,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,157,26,15,2,AKLKUL,Romania,1,0,1,8.83,0
2,0,0,145,51,4,4,AKLKUL,Malaysia,1,1,1,8.83,0
4,0,0,241,24,9,2,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,172,17,9,6,AKLKUL,Ireland,0,0,1,8.83,0
1,0,0,99,19,7,4,AKLKUL,Malaysia,0,0,0,8.83,0
1,1,0,139,22,8,1,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,59,35,13,1,AKLKUL,Malaysia,0,1,0,8.83,1
1,0,0,396,23,9,2,AKLKUL,New Zealand,1,0,1,8.83,0
2,0,0,280,18,23,3,AKLKUL,Malaysia,1,0,1,8.83,0
1,0,0,79,23,10,3,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,37,26,21,4,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,69,19,17,0,AKLKUL,Italy,1,0,0,8.83,0
1,0,0,380,21,21,5,AKLKUL,New Zealand,1,1,0,8.83,0
5,0,0,206,17,13,1,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,13,27,1,4,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,229,31,2,6,AKLKUL,New Zealand,0,0,1,8.83,0
1,0,0,132,20,9,2,AKLKUL,Slovakia,1,0,0,8.83,0
4,0,0,121,18,6,1,AKLKUL,Malaysia,1,1,1,8.83,0
4,0,0,316,22,14,5,AKLKUL,Malaysia,1,0,0,8.83,1
5,0,0,67,35,2,3,AKLKUL,Malaysia,1,1,1,8.83,1
1,0,0,419,21,16,1,AKLKUL,Malaysia,1,0,0,8.83,0
2,0,0,18,46,2,2,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,58,21,12,4,AKLKUL,United Arab Emirates,1,0,1,8.83,0
2,0,0,115,87,6,4,AKLKUL,Tonga,0,0,0,8.83,0
1,0,0,236,91,6,6,AKLKUL,Malaysia,1,0,1,8.83,0
1,0,0,225,25,6,3,AKLKUL,Germany,1,1,0,8.83,1
1,0,0,116,56,15,5,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,34,90,7,0,AKLKUL,Malaysia,1,1,0,8.83,0
1,0,0,191,60,11,1,AKLKUL,Germany,1,0,1,8.83,0
1,0,0,55,22,7,0,AKLKUL,New Zealand,1,0,0,8.83,0
1,1,0,53,180,2,0,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,13,17,3,1,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,275,36,4,4,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,58,17,7,1,AKLKUL,New Zealand,1,0,1,8.83,0
2,0,0,45,25,1,2,AKLKUL,New Zealand,0,0,0,8.83,0
2,0,0,417,22,4,1,AKLKUL,New Zealand,1,0,1,8.83,0
2,0,0,159,21,8,6,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,173,40,8,1,AKLKUL,New Zealand,0,0,0,8.83,0
2,0,0,92,65,13,2,AKLKUL,Réunion,1,0,0,8.83,0
1,0,0,106,208,4,5,AKLKUL,Japan,1,0,0,8.83,0
3,0,0,316,35,16,3,AKLKUL,Malaysia,0,0,0,8.83,0
2,0,0,245,27,11,2,AKLKUL,New Zealand,0,0,0,8.83,1
3,0,0,218,21,8,3,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,96,106,1,1,AKLKUL,New Zealand,1,1,1,8.83,0
1,0,0,67,22,11,2,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,145,204,16,6,AKLKUL,Malaysia,1,1,1,8.83,0
1,0,0,295,18,6,2,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,57,51,3,4,AKLKUL,New Zealand,1,0,1,8.83,0
1,1,0,12,20,8,3,AKLKUL,New Zealand,1,0,0,8.83,0
3,0,0,77,31,0,5,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,7,83,16,3,AKLKUL,Malaysia,1,0,1,8.83,0
1,1,0,305,18,3,4,AKLKUL,New Zealand,0,0,0,8.83,0
2,0,0,235,18,22,3,AKLKUL,Malaysia,1,0,1,8.83,1
1,0,0,332,17,11,0,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,3,35,6,3,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,56,42,4,5,AKLKUL,Malaysia,1,0,1,8.83,1
2,0,0,125,85,15,5,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,86,21,2,0,AKLKUL,Malaysia,1,0,0,8.83,0
2,0,0,204,24,6,2,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,310,44,13,3,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,115,20,7,2,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,57,24,12,5,AKLKUL,New Zealand,1,0,0,8.83,0
4,0,0,368,36,16,1,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,59,37,15,1,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,6,21,21,1,AKLKUL,New Zealand,0,0,0,8.83,0
3,0,0,67,22,7,4,AKLKUL,Vietnam,1,1,0,8.83,0
1,0,0,169,22,9,0,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,214,38,12,5,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,5,19,14,5,AKLKUL,Malaysia,1,0,0,8.83,0
2,0,0,14,17,10,0,AKLKUL,(not set),1,0,0,8.83,1
2,0,0,173,64,14,5,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,7,22,7,2,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,196,86,3,1,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,155,24,7,1,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,245,19,9,0,AKLKUL,New Zealand,0,0,0,8.83,0
1,1,0,22,82,10,6,AKLKUL,Malaysia,1,1,1,8.83,1
1,0,0,325,22,4,4,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,2,6,1,23,1,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,130,18,10,2,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,218,17,2,6,AKLKUL,Malaysia,1,0,1,8.83,1
1,0,0,189,35,8,1,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,35,41,15,5,AKLKUL,Malaysia,1,1,1,8.83,0
1,0,0,189,60,8,3,AKLKUL,New Zealand,0,1,1,8.83,0
4,0,0,226,17,6,1,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,122,30,13,5,AKLKUL,India,1,0,0,8.83,0
2,0,0,88,30,8,4,AKLKUL,Malaysia,1,0,1,8.83,0
4,0,0,211,21,10,6,AKLKUL,Malaysia,1,0,0,8.83,1
1,0,0,259,82,9,1,AKLKUL,Malaysia,1,0,1,8.83,1
5,0,0,188,17,12,5,AKLKUL,Malaysia,1,0,1,8.83,1
1,0,0,129,25,9,2,AKLKUL,New Zealand,1,0,1,8.83,0
2,0,0,190,69,21,5,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,172,54,8,3,AKLKUL,Malaysia,1,1,1,8.83,0
1,0,0,149,17,4,2,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,15,28,7,1,AKLKUL,Saudi Arabia,0,0,0,8.83,1
4,0,0,38,17,4,1,AKLKUL,Malaysia,0,0,0,8.83,0
1,1,0,8,238,5,6,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,214,23,8,1,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,14,275,3,4,AKLKUL,Singapore,1,0,1,8.83,1
2,0,0,9,84,13,6,AKLKUL,Malaysia,1,1,1,8.83,0
1,0,0,70,20,14,0,AKLKUL,Malaysia,0,0,0,8.83,0
3,0,0,35,17,3,1,AKLKUL,Malaysia,1,0,1,8.83,0
4,0,0,53,42,23,0,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,77,28,15,4,AKLKUL,Malaysia,1,1,0,8.83,0
2,0,0,259,39,21,5,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,106,27,7,1,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,194,86,3,1,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,134,26,15,4,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,3,36,16,1,AKLKUL,Malaysia,0,0,1,8.83,1
1,0,0,149,17,2,5,AKLKUL,New Zealand,1,0,1,8.83,0
2,0,0,9,44,8,6,AKLKUL,Malaysia,1,0,1,8.83,1
1,0,0,37,95,17,3,AKLKUL,Netherlands,1,0,1,8.83,0
2,0,0,183,34,11,6,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,40,31,5,6,AKLKUL,New Zealand,1,1,1,8.83,0
1,0,0,95,83,6,4,AKLKUL,New Zealand,0,0,0,8.83,1
1,0,0,135,24,4,6,AKLKUL,New Zealand,0,0,0,8.83,0
1,1,0,15,90,13,6,AKLKUL,Germany,1,0,1,8.83,0
1,0,0,222,23,9,0,AKLKUL,Malaysia,0,0,1,8.83,1
2,0,0,64,29,12,2,AKLKUL,Malaysia,1,0,0,8.83,1
1,0,0,162,19,8,3,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,22,27,9,1,AKLKUL,New Zealand,0,0,1,8.83,0
2,0,0,150,31,8,1,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,73,27,12,6,AKLKUL,New Zealand,0,0,0,8.83,0
3,0,0,133,19,9,0,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,2,24,1,0,4,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,66,20,14,1,AKLKUL,Malaysia,0,1,1,8.83,0
3,0,0,89,22,6,0,AKLKUL,Malaysia,1,0,0,8.83,0
2,0,0,105,91,12,0,AKLKUL,Malaysia,1,1,1,8.83,0
1,0,0,115,95,9,5,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,151,39,7,1,AKLKUL,New Zealand,1,0,1,8.83,0
3,0,0,349,18,20,2,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,13,18,9,6,AKLKUL,Malaysia,1,0,1,8.83,1
2,0,0,29,20,1,6,AKLKUL,New Zealand,0,0,0,8.83,0
1,1,0,69,28,14,5,AKLKUL,Malaysia,1,1,1,8.83,0
5,0,0,206,17,13,1,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,6,21,3,6,AKLKUL,Malaysia,1,0,0,8.83,0
2,1,0,23,31,4,2,AKLKUL,Indonesia,1,0,0,8.83,0
1,0,0,197,19,3,2,AKLKUL,New Zealand,0,0,0,8.83,1
2,0,0,368,65,2,1,AKLKUL,Malaysia,1,0,1,8.83,1
1,0,0,25,19,6,6,AKLKUL,Malaysia,1,1,0,8.83,0
1,0,0,189,33,11,6,AKLKUL,Qatar,1,1,1,8.83,1
1,1,0,123,70,22,3,AKLKUL,Malaysia,0,0,0,8.83,0
2,0,0,298,22,7,3,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,89,24,9,1,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,241,125,11,4,AKLKUL,New Zealand,1,0,1,8.83,0
2,1,0,195,27,2,4,AKLKUL,New Zealand,1,1,1,8.83,0
1,1,0,84,18,9,4,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,410,25,13,0,AKLKUL,Germany,1,1,0,8.83,1
3,0,0,95,24,8,3,AKLKUL,New Zealand,1,1,1,8.83,1
1,0,0,122,54,5,5,AKLKUL,Hong Kong,0,0,1,8.83,0
2,0,0,216,26,9,1,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,89,20,23,4,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,111,42,7,2,AKLKUL,Japan,1,0,0,8.83,1
1,0,0,11,39,7,0,AKLKUL,Malaysia,1,0,0,8.83,0
3,0,0,174,17,3,4,AKLKUL,New Zealand,1,0,0,8.83,0
2,1,0,162,18,4,5,AKLKUL,Malaysia,0,0,0,8.83,1
2,0,2,139,1,8,6,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,19,93,3,2,AKLKUL,New Zealand,1,1,1,8.83,0
1,0,0,110,18,15,5,AKLKUL,New Zealand,0,0,0,8.83,0
2,0,0,9,54,7,5,AKLKUL,Malaysia,1,0,1,8.83,1
1,1,0,47,28,15,1,AKLKUL,Malaysia,1,0,0,8.83,0
6,1,0,349,21,5,1,AKLKUL,Malaysia,1,0,0,8.83,0
2,0,0,109,21,17,1,AKLKUL,Malaysia,1,1,1,8.83,1
1,0,0,0,23,5,3,AKLKUL,Malaysia,0,0,0,8.83,0
4,0,0,38,21,0,2,AKLKUL,Malaysia,1,0,1,8.83,0
1,0,0,58,28,8,4,AKLKUL,New Zealand,0,0,1,8.83,0
4,0,0,192,20,6,1,AKLKUL,Malaysia,1,0,1,8.83,1
4,1,0,210,21,4,1,AKLKUL,Malaysia,1,0,0,8.83,0
2,0,0,326,22,12,1,AKLKUL,Malaysia,0,0,0,8.83,1
2,0,0,13,17,10,3,AKLKUL,Malaysia,1,1,1,8.83,0
2,0,0,240,64,14,4,AKLKUL,Malaysia,0,1,0,8.83,0
1,0,0,39,21,7,2,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,23,35,8,1,AKLKUL,Indonesia,0,0,0,8.83,0
5,0,2,198,34,14,2,AKLKUL,Hong Kong,1,1,1,8.83,0
1,0,0,75,30,10,3,AKLKUL,Thailand,1,0,0,8.83,0
1,0,0,54,20,8,2,AKLKUL,New Zealand,1,0,1,8.83,0
